"YearEnd","Country","HBT","DepartmentType","OneAttendance","TwoAttendances","ThreeAttendances","FourAttendances","FivePlusAttendances"
202604,"S92000003","S08000015","Type 1",59551,14993,4638,1723,1648
202604,"S92000003","S08000016","Type 1",19164,4968,1734,687,779
202604,"S92000003","S08000017","Type 1",27206,7770,2703,1227,1427
202604,"S92000003","S08000019","Type 1",41677,9110,2574,963,1071
202604,"S92000003","S08000019","Type 3",19753,2078,333,66,24
202604,"S92000003","S08000020","Type 1",68132,14306,4178,1550,1560
202604,"S92000003","S08000020","Type 3",9500,5460,1232,516,730
202604,"S92000003","S08000022","Type 1",39915,9588,3083,1208,1265
202604,"S92000003","S08000022","Type 3",1821,643,280,147,206
202604,"S92000003","S08000024","Type 1",132695,37503,12285,4877,5451
202604,"S92000003","S08000024","Type 3",36825,5694,1427,441,382
202604,"S92000003","S08000025","Type 1",3932,1236,425,184,222
202604,"S92000003","S08000026","Type 1",4090,1253,446,187,224
202604,"S92000003","S08000028","Type 1",3588,955,270,100,107
202604,"S92000003","S08000028","Type 3",1004,275,99,31,45
202604,"S92000003","S08000029","Type 1",46050,10272,3107,1134,1224
202604,"S92000003","S08000029","Type 3",22556,2964,476,124,43
202604,"S92000003","S08000030","Type 1",63319,12510,3327,1148,1164
202604,"S92000003","S08000030","Type 3",7555,1167,212,54,23
202604,"S92000003","S08000031","Type 1",202222,50660,16577,6589,7253
202604,"S92000003","S08000031","Type 3",60136,8312,1656,424,248
202604,"S92000003","S08000032","Type 1",108268,29703,10185,4009,4514
